timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1713203971149,594,01_Accessing wikipedia,200,OK,01_Wikipedia 1-1,text,true,,79457,238,2,2,https://www.wikipedia.org/,70,0,49
1713203971149,73,01_Accessing wikipedia-0,301,Moved Permanently,01_Wikipedia 1-1,,true,,173,119,2,2,http://www.wikipedia.org/,70,0,49
1713203971225,518,01_Accessing wikipedia-1,200,OK,01_Wikipedia 1-1,text,true,,79284,119,2,2,https://www.wikipedia.org/,496,0,468
1713203971410,345,01_Accessing wikipedia,200,OK,01_Wikipedia 1-2,text,true,,79457,238,2,2,https://www.wikipedia.org/,29,0,14
1713203971410,29,01_Accessing wikipedia-0,301,Moved Permanently,01_Wikipedia 1-2,,true,,173,119,2,2,http://www.wikipedia.org/,29,0,14
1713203971440,315,01_Accessing wikipedia-1,200,OK,01_Wikipedia 1-2,text,true,,79284,119,2,2,https://www.wikipedia.org/,281,0,256
1713203971757,155,02_Search to wikipedia,200,OK,01_Wikipedia 1-2,text,true,,100905,272,3,3,https://en.wikipedia.org/wiki/Apache_JMeter,31,0,17
1713203971757,31,02_Search to wikipedia-0,301,Moved Permanently,01_Wikipedia 1-2,,true,,190,136,3,3,http://en.wikipedia.org/wiki/Apache_JMeter,31,0,17
1713203971789,123,02_Search to wikipedia-1,200,OK,01_Wikipedia 1-2,text,true,,100715,136,3,3,https://en.wikipedia.org/wiki/Apache_JMeter,76,0,47
1713203971750,170,02_Search to wikipedia,200,OK,01_Wikipedia 1-1,text,true,,100905,272,3,3,https://en.wikipedia.org/wiki/Apache_JMeter,40,0,25
1713203971750,40,02_Search to wikipedia-0,301,Moved Permanently,01_Wikipedia 1-1,,true,,190,136,3,3,http://en.wikipedia.org/wiki/Apache_JMeter,40,0,25
